noise,seed,method,l1_spearman,l2_spearman
0.0,68,EntroPath,0.8838366537390319,0.8825397866989051
0.0,69,Euclidean,0.5318464311419975,
0.0,69,Isomap,0.8111784913485273,0.7470909698993642
0.0,69,Shortest Path,0.8111784913485273,0.775189793418481
0.0,69,Diffusion Maps,0.4940359666762811,0.8879693650210991
0.0,69,PHATE,0.777372103991936,0.754384772260755
0.0,69,HeatGeo,0.7691332563841982,0.7183484624662182
0.0,69,DTNE,0.7813397328867137,0.7345093054222307
0.0,69,EntroPath,0.8646744456282196,0.8567725434887115
0.0,70,Euclidean,0.5163962604425336,
0.0,70,Isomap,0.8850675426977754,0.8915662013221326
0.0,70,Shortest Path,0.8850675426977754,0.9172196690071763
0.0,70,Diffusion Maps,0.521540347365124,0.9092732941035083
0.0,70,PHATE,0.8592640534689268,0.8740942705684674
0.0,70,HeatGeo,0.8594495406997794,0.8954525627753818
0.0,70,DTNE,0.8742331276126051,0.9001689243525667
0.0,70,EntroPath,0.8943710000691037,0.9174968779419742
0.0,71,Euclidean,0.5256321226326377,
0.0,71,Isomap,0.8195846934683559,0.7571084264174129
0.0,71,Shortest Path,0.8195846934683559,0.7907782273719445
0.0,71,Diffusion Maps,0.4791516181469114,0.8854175471917641
0.0,71,PHATE,0.7871548226763533,0.7635097972747635
0.0,71,HeatGeo,0.7746437526931635,0.7286427928926927
0.0,71,DTNE,0.7924550441098929,0.7466838666232516
0.0,71,EntroPath,0.8689044731735239,0.8522382773721696
0.05,42,Euclidean,0.5211536131038492,
0.05,42,Isomap,0.842856087020988,0.7771819489391844
0.05,42,Shortest Path,0.842856087020988,0.8372479066154699
0.05,42,Diffusion Maps,0.5145375038667983,0.9120213549312194
0.05,42,PHATE,0.8431755099591839,0.8405969995500755
0.05,42,HeatGeo,0.8147931146917303,0.7914964697228495
0.05,42,DTNE,0.8975186023274401,0.9171280016306953
0.05,42,EntroPath,0.9095061260795564,0.9244713421936194
0.05,43,Euclidean,0.519673921874601,
0.05,43,Isomap,0.8255811294092994,0.7583168555005732
0.05,43,Shortest Path,0.8255811294092994,0.7805891231524172
0.05,43,Diffusion Maps,0.5204283791925993,0.9181388540508993
0.05,43,PHATE,0.8125164018713563,0.7886800771384191
0.05,43,HeatGeo,0.7924938846450252,0.7502752659678188
0.05,43,DTNE,0.8311914208485625,0.8073558458869075
0.05,43,EntroPath,0.8895344496249626,0.8825946493517028
0.05,44,Euclidean,0.5284033086753589,
0.05,44,Isomap,0.8368756147878745,0.7950311168812635
0.05,44,Shortest Path,0.8368756147878745,0.8424963019182264
0.05,44,Diffusion Maps,0.49252785736111304,0.9015213080399058
0.05,44,PHATE,0.8092003365346339,0.8053569188430552
0.05,44,HeatGeo,0.7878574153518201,0.7825854346114499
0.05,44,DTNE,0.8135968654071782,0.819435357967272
0.05,44,EntroPath,0.8837245821634542,0.8852931457538079
0.05,45,Euclidean,0.5194213699237007,
0.05,45,Isomap,0.8061630814874404,0.7459247977982987
0.05,45,Shortest Path,0.8061630814874404,0.7798237548917102
0.05,45,Diffusion Maps,0.501055082144676,0.8665553592231553
0.05,45,PHATE,0.7755716879182836,0.7567435667323152
0.05,45,HeatGeo,0.7651683001177767,0.7190803829234437
0.05,45,DTNE,0.800681037849255,0.7691864811121778
0.05,45,EntroPath,0.8582065110903803,0.848125232299333
0.05,46,Euclidean,0.5258717130449609,
0.05,46,Isomap,0.8573638469557603,0.8467960238001886
0.05,46,Shortest Path,0.8573638469557603,0.8844174037101133
0.05,46,Diffusion Maps,0.5115775571231562,0.9003917925914912
0.05,46,PHATE,0.8202461746496371,0.8481673566265117
0.05,46,HeatGeo,0.7992335511704802,0.8643096981230856
0.05,46,DTNE,0.8494640715072251,0.8781607517054324
0.05,46,EntroPath,0.878188389994547,0.897263989647226
0.05,47,Euclidean,0.5244731446834529,
0.05,47,Isomap,0.9382593518012762,0.9417334651349699
0.05,47,Shortest Path,0.9382593518012762,0.9519182372928207
0.05,47,Diffusion Maps,0.49198634502085886,0.9156758729447306
0.05,47,PHATE,0.8740984561785399,0.8901851026211305
0.05,47,HeatGeo,0.8734949873292503,0.9048978124099588
0.05,47,DTNE,0.9398113717361685,0.9449367200139108
0.05,47,EntroPath,0.9401678335549156,0.9506487386305766
0.05,48,Euclidean,0.5230501579145429,
0.05,48,Isomap,0.8538698801330096,0.8158379217025932
0.05,48,Shortest Path,0.8538698801330096,0.856149034726072
0.05,48,Diffusion Maps,0.4810751555004229,0.8896304594722287
0.05,48,PHATE,0.8139086848191364,0.8030195485775921
0.05,48,HeatGeo,0.7925386422332787,0.7529112582958146
0.05,48,DTNE,0.82569981543174,0.8277506560585097
0.05,48,EntroPath,0.8661298000013521,0.871425620654171
0.05,49,Euclidean,0.5190628017402096,
0.05,49,Isomap,0.8351825691734757,0.7918318802697146
0.05,49,Shortest Path,0.8351825691734757,0.840866880896905
0.05,49,Diffusion Maps,0.48026852021356026,0.9120093139677948
0.05,49,PHATE,0.8301411503702302,0.8422211153174185
